Overall,Team,Player,PS
1,New York Islanders,Rick DiPietro,49.3
2,Atlanta Thrashers,Dany Heatley,95.2
3,Minnesota Wild,Marian Gaborik,103.6
4,Columbus Blue Jackets,Rostislav Klesla,34.5
5,New York Islanders,Raffi Torres,28.4
6,Nashville Predators,Scott Hartnell,74.5
7,Boston Bruins,Lars Jonsson,0
8,Tampa Bay Lightning,Nikita Alexeev,2.4
9,Calgary Flames,Brent Krahn,-0.2
10,Chicago Blackhawks,Mikhail Yakubov,-0.1
11,Chicago Blackhawks,Pavel Vorobiev,2.1
12,Anaheim Ducks,Alexei Smirnov,0.3
13,Montreal Canadiens,Ron Hainsey,43.5
14,Colorado Avalanche,Vaclav Nedorost,1.4
15,Buffalo Sabres,Artem Kryukov,0
16,Montreal Canadiens,Marcel Hossa,4.3
17,Edmonton Oilers,Alexei Mikhnov,0
18,Pittsburgh Penguins,Brooks Orpik,35.5
19,Phoenix Coyotes,Krys Kolanos,3.6
20,Los Angeles Kings,Alex Frolov,43.7
21,Ottawa Senators,Anton Volchenkov,34
22,New Jersey Devils,David Hale,9.9
23,Vancouver Canucks,Nathan Smith,-0.6
24,Toronto Maple Leafs,Brad Boyes,53.8
25,Dallas Stars,Steve Ott,19.7
26,Washington Capitals,Brian Sutherby,3.3
27,Boston Bruins,Martin Samuelsson,-0.2
28,Philadelphia Flyers,Justin Williams,71.6
29,Detroit Red Wings,Niklas Kronwall,64.1
30,St. Louis Blues,Jeff Taffe,3.1
31,Atlanta Thrashers,Ilja Nikulin,0
32,Carolina Hurricanes,Tomas Kurka,0.6
33,Minnesota Wild,Nick Schultz,47.1
34,Tampa Bay Lightning,Ruslan Zainullin,0
35,Edmonton Oilers,Brad Winchester,3.7
36,Nashville Predators,Daniel Widing,0
37,Boston Bruins,Andy Hilbert,8.4
38,Detroit Red Wings,Tomas Kopecky,11.2
39,New Jersey Devils,Teemu Laine,0
40,Calgary Flames,Kurtis Foster,27.9
41,San Jose Sharks,Tero Maatta,0
42,Atlanta Thrashers,Libor Ustrnul,0
43,Washington Capitals,Matt Pettinger,7.3
44,Anaheim Ducks,Ilya Bryzgalov,81.3
45,Ottawa Senators,Mathieu Chouinard,0
46,Calgary Flames,Jarret Stoll,34.1
47,Colorado Avalanche,Jared Aulin,0.3
48,Buffalo Sabres,Gerard Dicaire,0
49,Chicago Blackhawks,Jonas Nordqvist,0.2
50,Colorado Avalanche,Sergei Soin,0
51,Toronto Maple Leafs,Kris Vernarsky,-0.2
52,Pittsburgh Penguins,Shane Endicott,-1
53,Phoenix Coyotes,Alexander Tatarinov,0
54,Los Angeles Kings,Andreas Lilja,23.6
55,Ottawa Senators,Antoine Vermette,44.3
56,New Jersey Devils,Alexander Suglobov,-0.4
57,New Jersey Devils,Matt DeMarchi,0
58,Florida Panthers,Vladimir Sapozhnikov,0
59,Boston Bruins,Ivan Huml,1.5
60,Dallas Stars,Dan Ellis,30.1
61,Washington Capitals,Jakub Cutta,-0.3
62,New Jersey Devils,Paul Martin,65.7
63,Colorado Avalanche,Agris Saviels,0
64,New York Rangers,Filip Novak,0.1
65,St. Louis Blues,Dave Morisset,-0.4
66,Boston Bruins,Tuukka Makela,0
67,New Jersey Devils,Max Birbraer,0
68,Dallas Stars,Joel Lundqvist,0.4
69,Columbus Blue Jackets,Ben Knopp,0
70,Toronto Maple Leafs,Mikael Tellqvist,15.3
71,Vancouver Canucks,Thatcher Bell,0
72,Nashville Predators,Mattias Nilsson,0
73,Boston Bruins,Sergei Zinovjev,0
74,Chicago Blackhawks,Igor Radulov,1.7
75,St. Louis Blues,Justin Papineau,2.2
76,New Jersey Devils,Mike Rupp,6.5
77,Florida Panthers,Robert Fried,0
78,Montreal Canadiens,Jozef Balej,0.3
79,Montreal Canadiens,Tyler Hanchuck,0
80,Carolina Hurricanes,Ryan Bayda,1.8
81,Tampa Bay Lightning,Alexander Kharitonov,1.3
82,Florida Panthers,Sean O'Connor,0
83,Edmonton Oilers,Alexander Liubimov,0
84,Pittsburgh Penguins,Peter Hamerlik,0
85,Phoenix Coyotes,Ramzi Abid,2.8
86,Los Angeles Kings,Yanick Lehoux,0.4
87,Ottawa Senators,Jan Bohac,0
88,Colorado Avalanche,Kurt Sauer,10.1
89,Nashville Predators,Libor Pivko,0
90,Toronto Maple Leafs,Jean-Francois Racine,0
91,Dallas Stars,Alexei Tereschenko,0
92,Colorado Avalanche,Sergei Klyazmin,0
93,Vancouver Canucks,Tim Branham,0
94,Philadelphia Flyers,Alexander Drozdetsky,0
95,New York Rangers,Dominic Moore,15.5
96,St. Louis Blues,Antoine Bergeron,0
97,Carolina Hurricanes,Niclas Wallin,16.2
98,Anaheim Ducks,Jonas Ronnqvist,-0.4
99,Minnesota Wild,Marc Cavosie,0
100,Toronto Maple Leafs,Miguel Delisle,0
101,New York Islanders,Arto Tukio,0
102,Detroit Red Wings,Stefan Liv,0
103,Boston Bruins,Brett Nowak,0
104,San Jose Sharks,Jon DiSalvatore,-0.1
105,New York Islanders,Vladimir Gorbunov,0
106,Chicago Blackhawks,Scott Balan,0
107,Atlanta Thrashers,Carl Mallette,0
108,Atlanta Thrashers,Blake Robson,0
109,Montreal Canadiens,Johan Eneqvist,0
110,Carolina Hurricanes,Jared Newman,0
111,Buffalo Sabres,Ghyslain Rousseau,0
112,New York Rangers,Premysl Duben,0
113,Edmonton Oilers,Lou Dickenson,0
114,Montreal Canadiens,Christian Larrivee,0
115,Florida Panthers,Chris Eade,0
116,Calgary Flames,Levente Szuper,0
117,Chicago Blackhawks,Olli Malmivaara,0.2
118,Los Angeles Kings,Lubomir Visnovsky,87
119,Colorado Avalanche,Brian Fahey,0.1
120,Florida Panthers,Davis Parley,0
121,Washington Capitals,Ryan Vanbuskirk,0
122,Ottawa Senators,Derrick Byfuglien,0
123,Dallas Stars,Vadim Khomitski,0
124,Pittsburgh Penguins,Michel Ouellet,12.6
125,New Jersey Devils,Phil Cole,0
126,Tampa Bay Lightning,Johan Hagglund,0
127,Detroit Red Wings,Dmitri Semenov,0
128,Detroit Red Wings,Alexander Seluyanov,0
129,St. Louis Blues,Troy Riddle,0
130,Detroit Red Wings,Aaron Van Leusen,0
131,Nashville Predators,Matt Hendricks,4.1
132,Minnesota Wild,Maxim Sushinsky,1
133,Columbus Blue Jackets,Petteri Nummelin,7
134,Anaheim Ducks,Peter Podhradsky,0
135,New Jersey Devils,Mike Danton,0.8
136,New York Islanders,Dmitri Upper,0
137,Nashville Predators,Mike Stuart,0
138,Columbus Blue Jackets,Scott Heffernan,0
139,Dallas Stars,Ruslan Bernikov,0
140,New York Rangers,Nathan Martz,0
141,Calgary Flames,Wade Davis,0
142,San Jose Sharks,Michal Pinc,0
143,New York Rangers,Brandon Snee,0
144,Vancouver Canucks,Pavel Duma,0
145,Montreal Canadiens,Ryan Glenn,0
146,Pittsburgh Penguins,David Koci,-0.5
147,Atlanta Thrashers,Matt McRae,0
148,New York Islanders,Kristofer Ottosson,0
149,Buffalo Sabres,Denis Denisov,0
150,Columbus Blue Jackets,Tyler Kolarik,0
151,Chicago Blackhawks,Alexander Barkunov,0
152,Edmonton Oilers,Paul Flache,0
153,Anaheim Ducks,Bill Cass,0
154,Nashville Predators,Matt Koalska,-0.1
155,Calgary Flames,Travis Moen,1.8
156,Ottawa Senators,Greg Zanon,18.1
157,Ottawa Senators,Grant Potulny,0
158,Ottawa Senators,Sean Connolly,0
159,Colorado Avalanche,John-Michael Liles,59.8
160,Phoenix Coyotes,Nate Kiser,0
161,Tampa Bay Lightning,Pavel Sedov,0
162,Dallas Stars,Artem Chernov,0
163,Washington Capitals,Ivan Nepryayev,0
164,New Jersey Devils,Matus Kostur,0
165,Los Angeles Kings,Nathan Marsters,0
166,San Jose Sharks,Nolan Schaefer,1.1
167,St. Louis Blues,Craig Weller,0.2
168,Atlanta Thrashers,Zdenek Smid,0
169,Columbus Blue Jackets,Shane Bendera,0
170,Minnesota Wild,Erik Reitz,0.6
171,Philadelphia Flyers,Roman Cechmanek,38.1
172,Montreal Canadiens,Scott Selig,0
173,Nashville Predators,Tomas Harant,0
174,Boston Bruins,Jarno Kultanen,3
175,New York Rangers,Sven Helfenstein,0
176,Calgary Flames,Jukka Hentunen,0.3
177,Chicago Blackhawks,Michael Ayers,0
178,Atlanta Thrashers,Jeff Dwyer,0
179,Toronto Maple Leafs,Vadim Sozinov,0
180,Atlanta Thrashers,Darcy Hordichuk,0
181,Carolina Hurricanes,J.D. Forrest,0
182,Montreal Canadiens,Petr Chvojka,0
183,San Jose Sharks,Michal Macho,0
184,Edmonton Oilers,Shaun Norrie,0
185,Pittsburgh Penguins,Patrick Foley,0
186,Phoenix Coyotes,Brent Gauvreau,0
187,Detroit Red Wings,Per Backer,0
188,Ottawa Senators,Jason Maleyko,0
189,Colorado Avalanche,Chris Bahen,0
190,Florida Panthers,Josh Olson,0.2
191,Tampa Bay Lightning,Aaron Gionet,0
192,Dallas Stars,Ladislav Vlcek,0
193,Chicago Blackhawks,Joey Martin,0
194,New Jersey Devils,Deryk Engelland,13.1
195,Philadelphia Flyers,Colin Shields,0
196,Detroit Red Wings,Paul Ballantyne,0
197,Nashville Predators,Zbynek Irgl,0
198,New Jersey Devils,Ken Magowan,0
199,Minnesota Wild,Brian Passmore,0
200,Columbus Blue Jackets,Janne Jokila,0
201,Los Angeles Kings,Yevgeny Fedorov,0
202,New York Islanders,Ryan Caldwell,-0.1
203,Nashville Predators,Jure Penko,0
204,Boston Bruins,Chris Berti,0
205,New York Rangers,Henrik Lundqvist,138.8
206,Los Angeles Kings,Tim Eriksson,0
207,Chicago Blackhawks,Cliff Loya,0
208,Vancouver Canucks,Brandon Reid,0.8
209,Toronto Maple Leafs,Markus Seikola,0
210,Philadelphia Flyers,John Eichelberger,0
211,Edmonton Oilers,Joe Cullen,0
212,Carolina Hurricanes,Magnus Kahnberg,0
213,Buffalo Sabres,Vasily Bizyayev,0
214,Minnesota Wild,Peter Bartos,0.9
215,Edmonton Oilers,Matthew Lombardi,24.1
216,Pittsburgh Penguins,Jim Abbott,0
217,Phoenix Coyotes,Igor Samoilov,0
218,Los Angeles Kings,Craig Olynick,0
219,Dallas Stars,Marco Tuokko,0
220,Buffalo Sabres,Paul Gaustad,16
221,Colorado Avalanche,Aaron Molnar,0
222,Tampa Bay Lightning,Marek Priechodsky,0
223,Toronto Maple Leafs,Lubos Velebny,0
224,Dallas Stars,Antti Miettinen,21
225,Chicago Blackhawks,Vladislav Luchkin,0
226,Tampa Bay Lightning,Brian Eklund,0
227,Philadelphia Flyers,Guillaume Lefebvre,0
228,Detroit Red Wings,Jimmie Svensson,0
229,St. Louis Blues,Brett Lutes,0
230,Atlanta Thrashers,Samu Isosalo,0
231,Columbus Blue Jackets,Peter Zingoni,0
232,Minnesota Wild,Lubomir Sekeras,14.1
233,Tampa Bay Lightning,Alexander Polukeyev,0
234,Florida Panthers,Janis Sprukts,0.3
235,Carolina Hurricanes,Craig Kowalski,0
236,Nashville Predators,Mats Christeen,0
237,Boston Bruins,Zdenek Kutlak,0.3
238,New York Rangers,Danny Eberly,0
239,Calgary Flames,David Hajek,0
240,Chicago Blackhawks,Adam Berkhoel,1
241,Vancouver Canucks,Nathan Barrett,0
242,Atlanta Thrashers,Evan Nielsen,0
243,Montreal Canadiens,Joni Puurula,0
244,Atlanta Thrashers,Eric Bowen,0
245,Los Angeles Kings,Dan Welch,0
246,San Jose Sharks,Chad Wiseman,0.1
247,Edmonton Oilers,Jason Platt,0
248,Pittsburgh Penguins,Steve Crampton,0
249,Phoenix Coyotes,Sami Venalainen,0
250,Los Angeles Kings,Flavien Conne,0
251,Detroit Red Wings,Todd Jackson,0
252,Colorado Avalanche,Darryl Bootland,0
253,Florida Panthers,Mathew Sommerfeld,0
254,Toronto Maple Leafs,Alexander Shinkar,0
255,Minnesota Wild,Eric Johansson,0
256,San Jose Sharks,Pasi Saarinen,0
257,New Jersey Devils,Warren McCutcheon,0
258,Buffalo Sabres,Sean McMorrow,0
259,Philadelphia Flyers,Regan Kelly,0
260,Detroit Red Wings,Yevgeny Bumagin,0
261,St. Louis Blues,Reinhard Divis,1.8
262,Chicago Blackhawks,Peter Flache,0
263,Tampa Bay Lightning,Thomas Ziegler,-0.1
264,New York Islanders,Dmitri Altarev,0
265,Toronto Maple Leafs,Jean-Philippe Cote,0.8
266,Colorado Avalanche,Sean Kotary,0
267,New York Islanders,Tomi Pettinen,0.1
268,Boston Bruins,Pavel Kolarik,0
269,New York Rangers,Martin Richter,0
270,Calgary Flames,Micki DuPont,0.4
271,Chicago Blackhawks,Reto Von Arx,0.2
272,Vancouver Canucks,Tim Smith,0
273,Pittsburgh Penguins,Roman Simicek,1
274,Edmonton Oilers,Yevgeny Muratov,0
275,Montreal Canadiens,Jonathan Gauthier,0
276,Carolina Hurricanes,Troy Ferguson,0
277,Buffalo Sabres,Ryan Courtney,0
278,Columbus Blue Jackets,Martin Paroulek,0
279,Boston Bruins,Andreas Lindstrom,0
280,Pittsburgh Penguins,Nick Boucher,0
281,Phoenix Coyotes,Peter Fabus,0
282,Los Angeles Kings,Carl Grahn,0
283,Ottawa Senators,James Demone,0
284,Nashville Predators,Martin Hohener,0
285,Colorado Avalanche,Blake Ward,0
286,Columbus Blue Jackets,Andrej Nedorost,0
287,Philadelphia Flyers,Milan Kopecky,0
288,Atlanta Thrashers,Mark McRae,0
289,Washington Capitals,Bjorn Nord,0
290,Atlanta Thrashers,Simon Gamache,0.7
291,Chicago Blackhawks,Arne Ramholt,0
292,Columbus Blue Jackets,Louis Mandeville,0
293,St. Louis Blues,Lauri Kinos,0